loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
2447,HD 171028 b,HD 171028,1,1,1,0,Radial Velocity,550.0,1.32,,2.62,0.59,,,5671.0,2.47,1.53,-0.48,[Fe/H],,,111.659,0.002501052
2450,HD 171238 b,HD 171238,1,1,1,0,Radial Velocity,1532.0,2.57,,2.72,0.234,,G8 V,5440.0,1.01,0.96,0.2,[Fe/H],-0.09,7.56,44.8113,0.002596512
2458,HD 17156 b,HD 17156,1,1,1,0,Radial Velocity,21.21663,,1.1,3.51,0.68,87.82,,6040.0,1.55,1.41,0.19,[Fe/H],,,78.0863,0.0033506459999999997
2462,HD 173416 b,HD 173416,1,1,1,0,Radial Velocity,322.03,1.158,,1.841,0.208,,G8,4683.0,13.5,2.0,-0.22,[Fe/H],1.892,,132.184,0.0017574186
2464,HD 174205 b,HD 174205,1,1,1,0,Radial Velocity,582.0,1.7,,4.2,0.4,,K2,4308.0,26.6,1.8,-0.28,[Fe/H],2.378,1.7,234.027,0.00400932
2465,HD 175167 b,HD 175167,1,1,1,0,Radial Velocity,1175.0,,,14.8,0.51,,,,,1.09,,,,,71.0863,0.014128080000000001
2473,HD 175541 b,HD 175541,1,1,1,0,Radial Velocity,298.43,0.975,,0.598,0.11,,,5013.0,4.19,1.39,,,,,129.603,0.0005708508
2475,HD 175607 b,HD 175607,1,1,1,0,Radial Velocity,29.01,,,0.02825,0.11,,G6 V,5392.0,0.7,0.71,-0.62,[Fe/H],,10.32,40.3303,2.6967450000000002e-05
2476,HD 17674 b,HD 17674,1,1,1,0,Radial Velocity,623.8,1.42,,0.87,0.13,,G0 V,5904.0,1.18,0.98,-0.16,[Fe/H],,8.4,44.4264,0.000830502
2477,HD 176986 b,HD 176986,1,1,2,0,Radial Velocity,6.4898,0.06296,,0.01806,0.066,,K2.5 V,4931.0,0.78,0.79,0.03,[Fe/H],-0.48,4.3,27.7843,1.7240076e-05
2478,HD 176986 c,HD 176986,1,1,2,0,Radial Velocity,16.8191,0.11878,,0.02888,0.111,,K2.5 V,4931.0,0.78,0.79,0.03,[Fe/H],-0.48,4.3,27.7843,2.7568848e-05
2479,HD 177565 b,HD 177565,1,1,1,0,Radial Velocity,44.505,0.246,,0.04751,0.0593,,,,,1.0,,,,,16.9179,4.5353046e-05
2481,HD 177830 b,HD 177830,1,2,2,0,Radial Velocity,410.10001,1.14,,1.69,0.1,,,4901.0,3.26,1.7,0.42,[Fe/H],,,62.7674,0.001613274
2484,HD 177830 c,HD 177830,1,2,2,0,Radial Velocity,110.9,0.5137,,0.15,0.3,,,4949.0,2.62,1.47,0.545,[Fe/H],0.685,4.4,62.7674,0.00014319
2486,HD 178911 B b,HD 178911 B,1,3,1,0,Radial Velocity,71.484,0.34,,8.03,0.11,,,5588.0,1.08,1.24,0.24,[Fe/H],,,40.9727,0.007665437999999999
2492,HD 179079 b,HD 179079,1,1,1,0,Radial Velocity,14.479,0.1214,,0.081,0.049,,G5 IV,5646.0,1.63,1.14,0.24,[Fe/H],0.38,6.99,69.7116,7.73226e-05
2496,HD 179949 b,HD 179949,1,1,1,0,Radial Velocity,3.092514,0.0443,,0.916,0.022,,,6168.0,,1.21,0.137,[Fe/H],,,27.4573,0.0008744136000000001
2498,HD 180053 b,HD 180053,1,1,1,0,Radial Velocity,213.72,0.843,,2.194,0.081,,,5131.0,4.06,1.75,,,,,137.043,0.0020943923999999997
2499,HD 18015 b,HD 18015,1,1,1,0,Radial Velocity,2278.0,3.87,,3.18,0.148,,,5603.0,3.13,1.49,,,,,123.801,0.0030356280000000003
2504,HD 180314 b,HD 180314,1,1,1,0,Radial Velocity,394.73,1.448,,22.707,0.247,,,4917.0,9.2,2.6,0.2,[Fe/H],1.643,,122.362,0.021676102200000002
2506,HD 180617 b,HD 180617,1,2,1,0,Radial Velocity,105.911,0.343,,0.03843,0.101,,,3534.0,0.48,0.48,-0.04,[Fe/H],-1.49,,5.91059,3.6685278e-05
2508,HD 180902 b,HD 180902,1,2,1,0,Radial Velocity,510.9,1.4,,1.685,0.107,,,4961.0,4.16,1.41,,,,,104.577,0.001608501
2512,HD 181234 b,HD 181234,1,1,1,0,Radial Velocity,7593.40512,7.427,,9.379,0.726,98.732,,,,0.94,,,,,47.7458,0.0089531934
2517,HD 181342 b,HD 181342,1,1,1,0,Radial Velocity,564.1,1.592,,2.54,0.022,,,4945.0,4.71,1.69,,,,,120.391,0.002424684
2518,HD 18143 b,HD 18143,1,1,2,0,Radial Velocity,10.2851,0.088,,0.034,0.224,,,,,0.85,,,,,22.5243,3.24564e-05
2519,HD 18143 c,HD 18143,1,1,2,0,Radial Velocity,28982.41764,17.53,,9.998,0.194,35.98,,,,0.85,,,,,22.5243,0.0095440908
2521,HD 181433 b,HD 181433,1,1,3,0,Radial Velocity,9.3743,0.08,,0.02,0.4,,,4918.0,0.79,0.63,0.38,[Fe/H],,,26.8762,1.9092e-05
2526,HD 181433 c,HD 181433,1,1,3,0,Radial Velocity,962.0,1.76,,0.64,0.28,,K3 IV,4962.0,,0.78,0.33,[Fe/H],-0.511,,26.8762,0.000610944
2527,HD 181433 d,HD 181433,1,1,3,0,Radial Velocity,2172.0,3.0,,0.54,0.48,,K3 IV,4962.0,,0.78,0.33,[Fe/H],-0.511,,26.8762,0.0005154840000000001
2530,HD 181720 b,HD 181720,1,1,1,0,Radial Velocity,956.0,1.85,,0.4,0.26,,,5736.0,1.5,1.03,-0.62,[Fe/H],,,60.2046,0.00038184000000000004
2533,HD 183263 b,HD 183263,1,1,2,0,Radial Velocity,624.87404,1.46,,3.471,0.383,,,,,1.06,,,,,54.1955,0.0033134166000000002
2543,HD 183263 c,HD 183263,1,1,2,0,Radial Velocity,4667.97841,5.585,,9.31,0.051,73.718,,,,1.06,,,,,54.1955,0.008887326000000001
2544,HD 183579 b,HD 183579,1,1,1,0,Transit,17.471291,0.1322,0.311,0.06419,0.061,89.11,,5784.0,0.96,1.0,-0.038,[Fe/H],-0.034,3.1,57.2651,6.1275774e-05
2548,HD 184010 b,HD 184010,1,1,3,0,Radial Velocity,286.6,0.94,,0.31,0.0,,K0 III-IV,4971.0,4.86,1.35,-0.17,[Fe/H],1.117,2.76,60.7993,0.000295926
2549,HD 184010 c,HD 184010,1,1,3,0,Radial Velocity,484.3,1.334,,0.3,0.0,,K0 III-IV,4971.0,4.86,1.35,-0.17,[Fe/H],1.117,2.76,60.7993,0.00028638
2550,HD 184010 d,HD 184010,1,1,3,0,Radial Velocity,836.4,1.92,,0.45,0.0,,K0 III-IV,4971.0,4.86,1.35,-0.17,[Fe/H],1.117,2.76,60.7993,0.00042957
2551,HD 18438 b,HD 18438,1,1,1,0,Radial Velocity,803.0,2.1,,21.0,0.1,,M2.5 III,3860.0,88.47,1.84,-0.4,[Fe/H],2.968,5.5,224.146,0.0200466
2552,HD 185269 b,HD 185269,1,3,1,0,Radial Velocity,6.83776,0.077,,1.01,0.229,,,5923.0,2.0,1.3,,,,,51.9917,0.000964146
2556,HD 185283 b,HD 185283,1,1,1,0,Radial Velocity,4060.0,4.6,,1.3,0.07,91.0,K3 V,,,0.8,,,,6.0,31.395,0.00124098
2557,HD 18599 b,HD 18599,1,2,1,0,Transit,4.1374354,0.048,0.232,0.07583,0.34,87.6,K2 V,5145.0,0.77,0.86,0.0,[Fe/H],-0.429,0.4,38.5653,7.2387318e-05
2561,HD 187085 b,HD 187085,1,1,1,0,Radial Velocity,1019.74,2.1,,0.836,0.251,,,6117.0,1.27,1.19,0.12,[Fe/H],,2.747,45.8993,0.0007980455999999999
2566,HD 187123 b,HD 187123,1,1,2,0,Radial Velocity,3.0965828,0.0426,,0.523,0.0103,,,5790.0,1.15,1.04,0.09,[M/H],0.127,,45.9548,0.0004992558
2570,HD 187123 c,HD 187123,1,1,2,0,Radial Velocity,3810.0,4.89,,1.99,0.252,,,5790.0,1.15,1.04,0.09,[M/H],0.127,,45.9548,0.001899654
2574,HD 18742 b,HD 18742,1,1,1,0,Radial Velocity,766.0,1.82,,3.4,0.04,,,4940.0,5.13,1.36,,,,,162.685,0.0032456399999999997
2576,HD 188015 b,HD 188015,1,2,1,0,Radial Velocity,461.2,1.203,,1.5,0.137,,,5746.0,,1.09,0.289,[Fe/H],,,50.6706,0.0014319
