loc_rowid,sy_name,hostname,sy_snum,sy_pnum,cb_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,sy_refname,sy_dist
32142,Kepler-47,Kepler-47 B,2,3,1,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,,,,,,,,,
32143,Kepler-47,Kepler-47,2,3,1,<a refstr=OROSZ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Sci...337.1511O/abstract target=ref> Orosz et al. 2012 </a>,,5636.0,0.96,1.05,-0.25,[M/H],0.8394599865193975,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1025.02
32144,Kepler-47,Kepler-47,2,3,1,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1025.02
32145,Kepler-47,Kepler-47 B,2,3,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5636.0,0.87,0.85,-0.26,[Fe/H],,,
32146,Kepler-47,Kepler-47 B,2,3,1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5636.0,0.87,0.85,-0.26,[Fe/H],,,
32147,Kepler-47,Kepler-47,2,3,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5611.93,0.93,0.99,-0.043,[M/H],0.7655966069112563,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1025.02
41008,MXB 1658-298,MXB 1658-298 Ab,2,1,1,,,,,,,,,,
41009,MXB 1658-298,MXB 1658-298,2,1,1,<a refstr=LEWIN__AMP__JOSS_1981 href=https://ui.adsabs.harvard.edu/abs/1981SSRv...28....3L/abstract target=ref>Lewin &amp; Joss 1981</a>,,,,1.98,,,,,
41115,NN Ser,NN Ser,2,2,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,8565.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,515.818
41116,NN Ser,NN Ser Ab,2,2,1,,,,,,,,,,
41117,NN Ser,NN Ser,2,2,1,<a refstr=BEUERMANN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...521L..60B/abstract target=ref> Beuermann et al. 2010 </a>,WD,57000.0,,0.54,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,515.818
41118,NSVS 14256825,NSVS 14256825,2,1,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,8868.67,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,820.877
41119,NSVS 14256825,NSVS 14256825 Ab,2,1,1,<a refstr=ZHU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19..134Z/abstract target=ref>Zhu et al. 2019</a>,M,2550.0,0.16,0.11,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,
41120,NSVS 14256825,NSVS 14256825,2,1,1,<a refstr=ZHU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19..134Z/abstract target=ref>Zhu et al. 2019</a>,,40000.0,0.19,0.42,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,820.877
41121,NSVS 14256825,NSVS 14256825,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,40000.0,0.2,0.47,,,94.18895965228413,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,820.877
41122,NY Vir,NY Vir Ab,2,2,1,,,,,,,,,,
41123,NY Vir,NY Vir,2,2,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,32780.0,0.15,0.46,,,23.71373705661655,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,544.024
41124,NY Vir,NY Vir,2,2,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,8868.67,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,544.024
41141,OGLE-2007-BLG-349L,OGLE-2007-BLG-349L B,2,1,1,<a refstr=BENNETT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..125B/abstract target=ref>Bennett et al. 2016</a>,M,,,0.3,,,,<a refstr=BENNETT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..125B/abstract target=ref>Bennett et al. 2016</a>,2760.0
41142,OGLE-2007-BLG-349L,OGLE-2007-BLG-349L A,2,1,1,<a refstr=BENNETT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..125B/abstract target=ref>Bennett et al. 2016</a>,M,,,0.41,,,,<a refstr=BENNETT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..125B/abstract target=ref>Bennett et al. 2016</a>,2760.0
41237,OGLE-2016-BLG-0613L,OGLE-2016-BLG-0613L AB,2,1,1,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,,,,0.72,,,,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,3410.0
41238,OGLE-2016-BLG-0613L,OGLE-2016-BLG-0613L AB,2,1,1,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,,,,0.65,,,,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,3560.0
41239,OGLE-2016-BLG-0613L,OGLE-2016-BLG-0613L B,2,1,1,,,,,,,,,,
41240,OGLE-2016-BLG-0613L,OGLE-2016-BLG-0613L AB,2,1,1,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,,,,0.66,,,,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,3840.0
41241,OGLE-2016-BLG-0613L,OGLE-2016-BLG-0613L AB,2,1,1,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,,,,0.63,,,,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,2930.0
41242,OGLE-2016-BLG-0613L,OGLE-2016-BLG-0613L AB,2,1,1,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,,,,0.8,,,,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,3190.0
41243,OGLE-2016-BLG-0613L,OGLE-2016-BLG-0613L AB,2,1,1,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,,,,0.81,,,,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>,3210.0
41378,OGLE-2018-BLG-1700L,OGLE-2018-BLG-1700L,2,1,1,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...48H/abstract target=ref>Han et al. 2020</a>,,,,0.42,,,,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...48H/abstract target=ref>Han et al. 2020</a>,7600.0
41379,OGLE-2018-BLG-1700L,OGLE-2018-BLG-1700L,2,1,1,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...48H/abstract target=ref>Han et al. 2020</a>,,,,0.42,,,,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...48H/abstract target=ref>Han et al. 2020</a>,7600.0
41380,OGLE-2018-BLG-1700L,OGLE-2018-BLG-1700L Ab,2,1,1,,,,,,,,,,
41405,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L B,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.42,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,5100.0
41406,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L A,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.6,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,5100.0
41407,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L B,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.1,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,5600.0
41408,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L B,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.55,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,6100.0
41409,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L A,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.57,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,5900.0
41410,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L A,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.58,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,5600.0
41411,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L A,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.56,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,6100.0
41412,OGLE-2019-BLG-1470L,OGLE-2019-BLG-1470L B,2,1,1,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,,,,0.18,,,,<a refstr=KUANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.1704K/abstract target=ref>Kuang et al. 2022</a>,5900.0
41419,OGLE-2023-BLG-0836L,OGLE-2023-BLG-0836L,2,1,1,<a refstr=HAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..16H/abstract target=ref>Han et al. 2024</a>,,,,0.71,,,,<a refstr=HAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..16H/abstract target=ref>Han et al. 2024</a>,5120.0
41420,OGLE-2023-BLG-0836L,OGLE-2023-BLG-0836L B,2,1,1,<a refstr=HAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..16H/abstract target=ref>Han et al. 2024</a>,,,,0.56,,,,,
41550,PSR B1620-26,PSR B1620-26,2,1,1,<a refstr=SIGURDSSON_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003Sci...301..193S/abstract target=ref> Sigurdsson et al. 2003 </a>,,,,1.35,,,,<a refstr=ARZOUMANIAN_ET_AL__1996 href=https://ui.adsabs.harvard.edu/abs/1996ASPC..105..525A/abstract target=ref> Arzoumanian et al. 1996 </a>,
41551,PSR B1620-26,PSR B1620-26 B,2,1,1,,,,,,,,,,
41628,ROXs 42,ROXs 42 B,2,1,1,<a refstr=CURRIE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref> Currie et al. 2014 </a>,M0,,,1.0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,143.59
41629,ROXs 42,ROXs 42 B,2,1,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,3850.87,0.9,,,,0.16143585568264862,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,143.59
41630,ROXs 42,ROXs 42 B B,2,1,1,,,,,,,,,,
41631,ROXs 42,ROXs 42 B,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3433.0,1.34,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,143.59
41632,RR Cae,RR Cae,2,1,1,<a refstr=QIAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.422L..24Q/abstract target=ref> Qian et al. 2012 </a>,M,,,0.44,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21.1916
41633,RR Cae,RR Cae Ab,2,1,1,,,,,,,,,,
41634,RR Cae,RR Cae,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3904.0,0.19,0.16,,,0.007798301105232585,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21.1916
41635,RR Cae,RR Cae,2,1,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,4134.3,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21.1916
41642,Ross 458,Ross 458,2,1,1,<a refstr=PIZZOLATO_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...397..147P/abstract target=ref> Pizzolato et al. 2003 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41643,Ross 458,Ross 458,2,1,1,<a refstr=BURGASSER_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...725.1405B/abstract target=ref> Burgasser et al. 2010 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41644,Ross 458,Ross 458,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3646.0,0.56,0.56,,,0.05035006087879047,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41645,Ross 458,Ross 458,2,1,1,<a refstr=NIDEVER_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJS..141..503N/abstract target=ref> Nidever et al. 2002 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41646,Ross 458,Ross 458,2,1,1,<a refstr=DUNCAN_ET_AL__1991 href=https://ui.adsabs.harvard.edu/abs/1991ApJS...76..383D/abstract target=ref> Duncan et al. 1991 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41647,Ross 458,Ross 458,2,1,1,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,M2,3621.0,0.63,0.49,,,0.05997910762555094,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41648,Ross 458,Ross 458,2,1,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,3965.42,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41649,Ross 458,Ross 458 B,2,1,1,,,,,,,,,,
41650,Ross 458,Ross 458,2,1,1,<a refstr=HAWLEY_ET_AL__1996 href=https://ui.adsabs.harvard.edu/abs/1996AJ....112.2799H/abstract target=ref> Hawley et al. 1996 </a>,M0.5,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.5094
41655,SR 12,SR 12 AB,2,1,1,<a refstr=KUZUHARA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref> Kuzuhara et al. 2011 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,
41656,SR 12,SR 12 B,2,1,1,,,,,,,,,,
41657,SR 12,SR 12 AB,2,1,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,3828.93,1.1,,,,0.23550492838960096,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,
41670,TIC 172900988,TIC 172900988 Aa,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,F9,6050.0,1.38,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41671,TIC 172900988,TIC 172900988 Ab,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,G0,5983.0,1.31,1.2,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41672,TIC 172900988,TIC 172900988 Ab,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,G0,5983.0,1.31,1.2,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41673,TIC 172900988,TIC 172900988 Aa,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5963.0,2.03,1.09,,,4.688133821452653,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41674,TIC 172900988,TIC 172900988 Aa,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,F9,6050.0,1.38,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41675,TIC 172900988,TIC 172900988 Ab,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,G0,5983.0,1.32,1.2,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41676,TIC 172900988,TIC 172900988 Aa,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,F9,6050.0,1.38,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41677,TIC 172900988,TIC 172900988 Ab,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,G0,5983.0,1.31,1.2,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41678,TIC 172900988,TIC 172900988 Aa,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,F9,6050.0,1.38,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41679,TIC 172900988,TIC 172900988 Ab,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5963.0,2.03,1.09,,,4.688133821452653,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41680,TIC 172900988,TIC 172900988 Ab,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,G0,5983.0,1.31,1.2,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41681,TIC 172900988,TIC 172900988 Aa,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,F9,6050.0,1.38,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41682,TIC 172900988,TIC 172900988 Aa,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,F9,6050.0,1.38,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41683,TIC 172900988,TIC 172900988 Ab,2,1,1,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,G0,5983.0,1.31,1.2,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,250.956
41887,TOI-1338,TOI-1338 B,2,2,1,<a refstr=WANG__AMP__LIU_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...31W/abstract target=ref>Wang &amp; Liu 2024</a>,,,0.31,0.31,,,,,
41888,TOI-1338,TOI-1338 A,2,2,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5723.2,1.52,1.02,-0.4,[M/H],2.2284351492703034,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,399.017
41889,TOI-1338,TOI-1338 A,2,2,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,5977.0,1.36,,,,2.1330449131465765,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,399.017
41890,TOI-1338,TOI-1338 B,2,2,1,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5723.2,3.09,,,,,,
