loc_rowid,sy_name,hostname,sy_snum,sy_pnum,cb_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,sy_refname,sy_dist
20209,Kepler-16,Kepler-16 B,2,1,1,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,4576.0,0.62,0.69,,,,,
20210,Kepler-16,Kepler-16,2,1,1,<a refstr=LATHAM_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005AAS...20711013L/abstract target=ref> Latham et al. 2005 </a>,,4051.0,0.74,,-0.2,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,75.0852
20211,Kepler-16,Kepler-16 B,2,1,1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,4452.0,0.62,0.63,-0.3,[Fe/H],,,
20811,Kepler-1647,Kepler-1647 B,2,1,1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,6217.0,1.46,0.88,-0.78,[Fe/H],,,
20812,Kepler-1647,Kepler-1647 B,2,1,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6217.0,1.46,0.88,-0.78,[Fe/H],,,
20813,Kepler-1647,Kepler-1647,2,1,1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,6217.0,1.46,0.88,-0.78,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20814,Kepler-1647,Kepler-1647 B,2,1,1,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,,,,,,,,,
20815,Kepler-1647,Kepler-1647,2,1,1,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20816,Kepler-1647,Kepler-1647,2,1,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6217.0,1.46,0.88,-0.78,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20817,Kepler-1647,Kepler-1647,2,1,1,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,6215.0,2.19,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20818,Kepler-1647,Kepler-1647,2,1,1,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,,5589.33,2.24,,,,4.405548635065533,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20819,Kepler-1647,Kepler-1647,2,1,1,<a refstr=KOSTOV_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...86K/abstract target=ref>Kostov et al. 2016</a>,,6210.0,1.79,1.22,-0.14,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20820,Kepler-1647,Kepler-1647,2,1,1,<a refstr=LATHAM_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005AAS...20711013L/abstract target=ref> Latham et al. 2005 </a>,,5932.0,1.73,,-0.786,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20821,Kepler-1647,Kepler-1647,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6140.8,2.19,1.16,-0.134,[M/H],6.123503917247735,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1212.45
20977,Kepler-1660,Kepler-1660 A,2,1,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6305.24,1.88,1.24,-0.36,[M/H],5.035006087879047,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1188.54
20978,Kepler-1660,Kepler-1660 A,2,1,1,<a refstr=GOLDBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4628G/abstract target=ref>Goldberg et al. 2023</a>,,,1.49,1.14,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1188.54
20979,Kepler-1660,Kepler-1660 A,2,1,1,<a refstr=LATHAM_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005AAS...20711013L/abstract target=ref> Latham et al. 2005 </a>,,6227.0,1.22,,-0.382,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1188.54
20980,Kepler-1660,Kepler-1660 B,2,1,1,<a refstr=GETLEY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.2932G/abstract target=ref>Getley et al. 2017</a>,M,,,0.51,,,,,
20981,Kepler-1660,Kepler-1660 A,2,1,1,<a refstr=GETLEY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.2932G/abstract target=ref>Getley et al. 2017</a>,F7 V,,,1.21,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1188.54
20982,Kepler-1660,Kepler-1660 B,2,1,1,<a refstr=GOLDBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4628G/abstract target=ref>Goldberg et al. 2023</a>,,,1.3,1.08,,,,,
20983,Kepler-1660,Kepler-1660 A,2,1,1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,6492.0,1.17,1.04,-0.38,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1188.54
