loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
1795,HD 102329 c,HD 102329,1,1,2,0,Radial Velocity,1123.0,,,1.52,0.209,,,,,1.3,,,,,217.107,0.0014509920000000001
1891,HD 108874 b,HD 108874,1,1,2,0,Radial Velocity,394.48123,1.04,,1.42,0.13,,,5600.0,1.05,1.1,0.26,[Fe/H],,,59.5175,0.001355532
1899,HD 108874 c,HD 108874,1,1,2,0,Radial Velocity,1624.0,2.659,,0.99,0.239,,G5,5551.0,,0.95,0.19,[Fe/H],,,59.5175,0.000945054
1937,HD 111232 b,HD 111232,1,1,2,0,Radial Velocity,1169.13202,2.148,,7.965,0.214,93.521,,,,0.96,,,,,28.9571,0.0076033889999999995
1952,HD 113538 b,HD 113538,1,1,2,0,Radial Velocity,663.2,1.24,,0.36,0.14,,K9 V,4462.0,0.53,0.58,-0.24,[Fe/H],,4.3,16.2817,0.00034365599999999996
1953,HD 113538 c,HD 113538,1,1,2,0,Radial Velocity,1818.0,2.44,,0.93,0.2,,K9 V,4462.0,0.53,0.58,-0.24,[Fe/H],,4.3,16.2817,0.0008877780000000001
1967,HD 114783 b,HD 114783,1,1,2,0,Radial Velocity,493.7,1.16,,1.1,0.144,,K0,5135.0,,0.85,0.21,[Fe/H],,,21.0628,0.00105006
1968,HD 114783 c,HD 114783,1,1,2,0,Radial Velocity,4352.0,5.0,,1.9,0.05,159.0,K1 V,,,0.9,,,,6.0,21.0628,0.0018137399999999999
1978,HD 11506 c,HD 11506,1,1,3,0,Radial Velocity,223.95986,0.75,,0.369,0.233,,,,,1.12,,,,,51.261,0.0003522474
1982,HD 11506 d,HD 11506,1,1,3,0,Radial Velocity,14723.57452,12.235,,7.383,0.061,82.004,,,,1.12,,,,,51.261,0.0070478118
1984,HD 115404 A c,HD 115404 A,1,1,2,0,Radial Velocity,15319.22517,11.364,,10.319,0.211,25.791,,,,0.83,,,,,10.9816,0.009850517400000001
2027,HD 12235 c,HD 12235,1,1,2,0,Radial Velocity,36336.70679,22.21,,9.866,0.174,47.738,,,,1.1,,,,,31.7627,0.0094180836
2060,HD 12661 c,HD 12661,1,1,2,0,Radial Velocity,1708.0,2.8145,,1.812,0.031,,,5748.0,1.11,1.02,0.36,[Fe/H],0.063,6.39,37.8478,0.0017297352
2073,HD 128311 c,HD 128311,1,1,2,0,Radial Velocity,921.538,1.74,,3.789,0.159,55.95,,,0.76,0.83,,,,0.96,16.3292,0.0036169794000000003
2109,HD 134987 b,HD 134987,1,1,2,0,Radial Velocity,258.17999,0.81,,1.61,0.23,,,5736.0,1.22,1.1,0.28,[Fe/H],,,26.1804,0.001536906
2112,HD 134987 c,HD 134987,1,1,2,0,Radial Velocity,5000.0,5.8,,0.82,0.12,,G5 V,5585.0,1.25,1.1,0.28,[Fe/H],0.255,8.4,26.1804,0.0007827719999999999
2143,HD 13908 b,HD 13908,1,1,2,0,Radial Velocity,19.382,0.154,,0.865,0.02,,F8 V,6255.0,1.67,1.29,0.01,[Fe/H],0.602,2.9,79.5515,0.000825729
