loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist
120,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.7365474,,0.174,0.02703,,,,,0.98,1.01,,,,,12.5855
121,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.73654,0.01583,0.178,0.027,,90,G8 V,,0.94,0.96,,,,,12.5855
122,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.7365445,0.01583,,0.0295,0.036,,,5317.89,0.96,0.97,0.383,[Fe/H],,,12.5855
123,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.73654625,,,,,83.6,,5234,0.94,0.91,0.31,[Fe/H],,,12.5855
124,55 Cnc f,55 Cnc,1,2,5,0,Radial Velocity,259.88,0.7708,,0.1503,0.08,,,5172,0.94,0.91,0.35,[Fe/H],,,12.5855
125,55 Cnc f,55 Cnc,0,2,5,0,Radial Velocity,260.91,0.7733,,0.1479,0.08,89.73,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
126,55 Cnc f,55 Cnc,0,2,5,0,Radial Velocity,261.2,0.77,,0.172,0.32,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
127,55 Cnc f,55 Cnc,0,2,5,0,Radial Velocity,260.98,0.792,,0.1475,0.142,,,5317.89,0.96,0.97,0.383,[Fe/H],,,12.5855
128,55 Cnc f,55 Cnc,0,2,5,0,Radial Velocity,260,0.781,,0.144,0.2,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
129,55 Cnc f,55 Cnc,0,2,5,0,Radial Velocity,262,0.788,,0.141,0.305,90,,,,0.95,,,,,12.5855
130,55 Cnc f,55 Cnc,0,2,5,0,Radial Velocity,260.7,0.775,,0.141,0,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
131,6 Lyn b,6 Lyn,0,1,1,0,Radial Velocity,899,2.2,,2.4,0.134,,K0 IV,4978,5.2,1.7,-0.13,[Fe/H],1.176,,54.6599
