loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist
14459,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.44638698,0.1355,,,0,88.24,,5815,0.95,0.88,-0.3,[Fe/H],,,855.641
14460,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.44638028,,,,,,,5743,1.21,1.03,,,0.155,,855.641
14461,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.4464086,,,,,,,5743,1.21,1.03,,,0.155,,855.641
14462,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.44638698,0.1355,,,0,88.24,,5815,0.95,0.88,-0.3,[Fe/H],,,855.641
14463,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.44639139,0.1355,,,0,88.21,,5815,0.95,0.88,-0.3,[Fe/H],,,855.641
14464,Kepler-162 c,Kepler-162,0,1,2,0,Transit,,,0.349,,,,,5870,1.15,,,,,,855.641
14465,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.44638698,,0.374,,,,,6089,1.2,1.12,0.03,[Fe/H],,3.02,855.641
14466,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.44638698,0.1355,,,0,88.24,,5815,0.95,0.88,-0.3,[Fe/H],,,855.641
14467,Kepler-162 c,Kepler-162,1,1,2,0,Transit,19.446355,0.137,0.27,,,,,5816,0.96,,,,,,855.641
14468,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.446313,0.139,,,0,88.24,,5838,0.98,0.95,,,,5.6,855.641
14469,Kepler-162 c,Kepler-162,0,1,2,0,Transit,19.44639139,,,,,,,5743,1.21,1.03,,,0.155,,855.641
14470,Kepler-1620 b,Kepler-1620,0,1,1,0,Transit,101.951829,0.4322,,,0,89.95,,6210,1.05,1.03,-0.18,[Fe/H],,,895.069
14471,Kepler-1620 b,Kepler-1620,0,1,1,0,Transit,101.951829,0.4322,,,0,89.95,,6210,1.05,1.03,-0.18,[Fe/H],,,895.069
14472,Kepler-1620 b,Kepler-1620,0,1,1,0,Transit,101.9520232,,,,,,,,,,,,,,895.069
14473,Kepler-1620 b,Kepler-1620,0,1,1,0,Transit,101.952048,0.4322,,,0,89.96,,6210,1.05,1.03,-0.18,[Fe/H],,,895.069
14474,Kepler-1620 b,Kepler-1620,0,1,1,0,Transit,101.952048,,,,,,,,,,,,,,895.069
14475,Kepler-1620 b,Kepler-1620,0,1,1,0,Transit,101.9497375,,,,,,,,,,,,,,895.069
14476,Kepler-1620 b,Kepler-1620,0,1,1,0,Transit,101.951829,0.4322,,,0,89.95,,6210,1.05,1.03,-0.18,[Fe/H],,,895.069
14477,Kepler-1620 b,Kepler-1620,1,1,1,0,Transit,101.951829,,0.144,,,,,6157,1.23,1.15,0.03,[Fe/H],,3.02,895.069
14478,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,,,0.219,,,,,6087,1.42,,,,,,1631.66
14479,Kepler-1621 b,Kepler-1621,1,1,1,0,Transit,92.263714,,0.193,,,,,6158,1.24,1.15,0.03,[Fe/H],,2.69,1631.66
14480,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,92.263742,,,,,,,6355,1.43,1.26,,,0.478,,1631.66
14481,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,92.263742,0.4204,,,0,89.81,,6084,1.28,1.17,0.14,[Fe/H],,,1631.66
14482,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,92.263714,0.4266,,,0,89.95,,6343,1.14,1.21,0.07,[Fe/H],,,1631.66
14483,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,92.26724194,,,,,,,6355,1.43,1.26,,,0.478,,1631.66
14484,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,92.263714,0.4266,,,0,89.95,,6343,1.14,1.21,0.07,[Fe/H],,,1631.66
14485,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,92.26195246,,,,,,,6355,1.43,1.26,,,0.478,,1631.66
14486,Kepler-1621 b,Kepler-1621,0,1,1,0,Transit,92.263714,0.4266,,,0,89.95,,6343,1.14,1.21,0.07,[Fe/H],,,1631.66
14487,Kepler-1622 b,Kepler-1622,0,1,1,0,Transit,10.8118317,0.0994,,,0,86.49,,6025,1.2,1.12,0.12,[Fe/H],,,796.477
14488,Kepler-1622 b,Kepler-1622,0,1,1,0,Transit,10.81185858,,,,,,,6309.49,1.29,1.24,0.173,[M/H],0.373,,796.477
14489,Kepler-1622 b,Kepler-1622,0,1,1,0,Transit,10.8118737,0.1006,,,0,88.81,,6461,1.19,1.16,-0.12,[Fe/H],,,796.477
14490,Kepler-1622 b,Kepler-1622,0,1,1,0,Transit,10.8118317,,,,,,,6309.49,1.29,1.24,0.173,[M/H],0.373,,796.477
14491,Kepler-1622 b,Kepler-1622,0,1,1,0,Transit,,,0.123,,,,,6188,1.33,,,,,,796.477
14492,Kepler-1622 b,Kepler-1622,1,1,1,0,Transit,10.8118737,,0.131,,,,,6436,1.5,1.31,0.04,[Fe/H],,2.19,796.477
14493,Kepler-1622 b,Kepler-1622,0,1,1,0,Transit,10.8118737,0.1006,,,0,88.81,,6461,1.19,1.16,-0.12,[Fe/H],,,796.477
14494,Kepler-1622 b,Kepler-1622,0,1,1,0,Transit,10.8118737,0.1006,,,0,88.81,,6461,1.19,1.16,-0.12,[Fe/H],,,796.477
14495,Kepler-1623 b,Kepler-1623,0,1,1,0,Transit,4.36128348,0.0533,,,0,88.24,,5817,0.96,1.06,0.14,[Fe/H],,,837.481
14496,Kepler-1623 b,Kepler-1623,1,1,1,0,Transit,4.36128348,,0.117,,,,,5772,1,1,0.04,[Fe/H],,4.27,837.481
14497,Kepler-1623 b,Kepler-1623,0,1,1,0,Transit,4.36125889,,,,,,,5578,0.88,0.98,,,-0.172,,837.481
14498,Kepler-1623 b,Kepler-1623,0,1,1,0,Transit,4.36128348,0.0533,,,0,88.24,,5817,0.96,1.06,0.14,[Fe/H],,,837.481
14499,Kepler-1623 b,Kepler-1623,0,1,1,0,Transit,4.36130068,,,,,,,5578,0.88,0.98,,,-0.172,,837.481
14500,Kepler-1623 b,Kepler-1623,0,1,1,0,Transit,4.36128348,0.0533,,,0,88.24,,5817,0.96,1.06,0.14,[Fe/H],,,837.481
14501,Kepler-1623 b,Kepler-1623,0,1,1,0,Transit,,,0.109,,,,,5518,0.89,,,,,,837.481
14502,Kepler-1623 b,Kepler-1623,0,1,1,0,Transit,4.36125889,0.0518,,,0,88.52,,5520,0.87,0.97,0.14,[Fe/H],,,837.481
14503,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,3.29030844,,,,,,,3579,0.57,0.56,,,-1.323,,258.979
14504,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,3.29031359,,0.672,,,,,3579,0.57,,,,,,258.979
14505,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,3.29030452,0.0238,,,0,89.95,,3212,0.19,0.17,0,[Fe/H],,,258.979
14506,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,3.29031389,,,,,,,3579,0.57,0.56,,,-1.323,,258.979
14507,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,3.29030452,0.0238,,,0,89.95,,3212,0.19,0.17,0,[Fe/H],,,258.979
14508,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,,,0.582,,,,,3560,0.57,,,,,,258.979
14509,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,3.2903041,,,,,,,3579,0.57,0.56,,,-1.323,,258.979
14510,Kepler-1624 b,Kepler-1624,1,1,1,0,Transit,3.29030452,,0.509,,,,,3636,0.47,0.5,0.06,[Fe/H],,4.47,258.979
14511,Kepler-1624 b,Kepler-1624,0,1,1,0,Transit,3.2903041,0.0327,,,0,89.68,,3386,0.43,0.43,0.48,[Fe/H],,,258.979
14512,Kepler-1625 b,Kepler-1625,0,1,1,0,Transit,287.377314,,,,,,,5413,1.88,0.94,,,0.437,,2310.11
14513,Kepler-1625 b,Kepler-1625,0,1,1,0,Transit,,,1.055,,,,,5586,1.82,,,,,,2310.11
14514,Kepler-1625 b,Kepler-1625,0,1,1,0,Transit,287.377353,,,,,,,5413,1.88,0.94,,,0.437,,2310.11
14515,Kepler-1625 b,Kepler-1625,1,1,1,0,Transit,287.378949,,0.541,,,,,5677,0.94,0.96,0.01,[Fe/H],,4.37,2310.11
14516,Kepler-1625 b,Kepler-1625,0,1,1,0,Transit,287.377314,0.8748,,,0,89.99,,5548,1.79,1.08,0.12,[Fe/H],,,2310.11
14517,Kepler-1625 b,Kepler-1625,0,1,1,0,Transit,287.378949,0.811,,,0,89.95,,5645,0.84,0.86,-0.26,[Fe/H],,,2310.11
14518,Kepler-1625 b,Kepler-1625,0,1,1,0,Transit,287.378949,0.811,,,0,89.95,,5645,0.84,0.86,-0.26,[Fe/H],,,2310.11
14519,Kepler-1626 b,Kepler-1626,1,1,1,0,Transit,4.13962966,,0.18,,,,,6826,1.85,1.51,0.04,[Fe/H],,1.55,1368.83
14520,Kepler-1626 b,Kepler-1626,0,1,1,0,Transit,4.13962966,0.0534,,,0,89.38,,6517,1.16,1.18,-0.14,[Fe/H],,,1368.83
14521,Kepler-1626 b,Kepler-1626,0,1,1,0,Transit,4.13960513,,,,,,,6697,1.5,1.42,,,0.611,,1368.83
14522,Kepler-1626 b,Kepler-1626,0,1,1,0,Transit,4.13952681,,,,,,,6697,1.5,1.42,,,0.611,,1368.83
14523,Kepler-1626 b,Kepler-1626,0,1,1,0,Transit,4.13962966,0.0534,,,0,89.38,,6517,1.16,1.18,-0.14,[Fe/H],,,1368.83
14524,Kepler-1626 b,Kepler-1626,0,1,1,0,Transit,,,0.143,,,,,6553,1.52,,,,,,1368.83
14525,Kepler-1626 b,Kepler-1626,0,1,1,0,Transit,4.13960513,0.0537,,,0,87.83,,6535,1.18,1.2,-0.1,[Fe/H],,,1368.83
14526,Kepler-1627 b,Kepler-1627,0,1,1,0,Transit,,,0.335,,,,,5395,0.88,,,,,,317.437
14527,Kepler-1627 b,Kepler-1627,1,1,1,0,Transit,7.20283653,,0.329,,,,,5445,0.84,0.87,-0.1,[Fe/H],,4.68,317.437
14528,Kepler-1627 b,Kepler-1627,0,1,1,0,Transit,7.20281185,,,,,,,5580.71,0.75,0.99,0.147,[M/H],-0.303,,317.437
14529,Kepler-1627 b,Kepler-1627,0,1,1,0,Transit,7.20281185,0.0643,,,0,89.92,,5388,0.72,0.68,-0.7,[Fe/H],,,317.437
14530,Kepler-1627 b,Kepler-1627,0,1,1,0,Transit,7.20280608,,,,,,,5580.71,0.75,0.99,0.147,[M/H],-0.303,,317.437
14531,Kepler-1627 b,Kepler-1627,0,1,1,0,Transit,7.20283653,0.0643,,,0,89.38,,5388,0.72,0.68,-0.7,[Fe/H],,,317.437
14532,Kepler-1627 b,Kepler-1627,0,1,1,0,Transit,7.20283653,0.0643,,,0,89.38,,5388,0.72,0.68,-0.7,[Fe/H],,,317.437
14533,Kepler-1628 b,Kepler-1628,0,1,1,0,Transit,76.378033,0.2956,,,0,89.95,,3877,0.59,0.59,0.21,[Fe/H],,,
14534,Kepler-1628 b,Kepler-1628,0,1,1,0,Transit,76.377855,0.2952,,,0,89.71,,3869,0.58,0.59,0.21,[Fe/H],,,
14535,Kepler-1628 b,Kepler-1628,0,1,1,0,Transit,76.378033,0.2956,,,0,89.95,,3877,0.59,0.59,0.21,[Fe/H],,,
14536,Kepler-1628 b,Kepler-1628,1,1,1,0,Transit,76.378033,,0.574,,,,,3724,0.52,0.55,0.17,[Fe/H],,5.13,
14537,Kepler-1628 b,Kepler-1628,0,1,1,0,Transit,76.3775,,,,,,,,,,,,,,
14538,Kepler-1628 b,Kepler-1628,0,1,1,0,Transit,76.377855,,,,,,,,,,,,,,
14539,Kepler-1629 b,Kepler-1629,0,1,1,0,Transit,3.87594316,0.0485,,,0,89.89,,5713,0.89,1.01,0.07,[Fe/H],,,336.09
14540,Kepler-1629 b,Kepler-1629,0,1,1,0,Transit,,,0.06,,,,,5708,0.88,,,,,,336.09
14541,Kepler-1629 b,Kepler-1629,0,1,1,0,Transit,3.87594316,,,,,,,5699,0.88,1.01,,,-0.134,,336.09
14542,Kepler-1629 b,Kepler-1629,1,1,1,0,Transit,3.87595807,,0.069,,,,,5776,1.01,1.01,0.05,[Fe/H],,4.27,336.09
14543,Kepler-1629 b,Kepler-1629,0,1,1,0,Transit,3.87594219,,,,,,,5699,0.88,1.01,,,-0.134,,336.09
14544,Kepler-1629 b,Kepler-1629,0,1,1,0,Transit,3.87595807,0.0499,,,0,88.24,,5880,0.99,1.1,0.21,[Fe/H],,,336.09
14545,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81104769,,,,,,,5410.9,0.97,0.94,0.141,[M/H],-0.138,,689.814
14546,Kepler-163 b,Kepler-163,0,1,2,0,Transit,,,0.103,,,,,5390,0.91,,,,,,689.814
14547,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81104673,0.0771,,,0,89.38,,5772,0.9,1,0,[Fe/H],,,689.814
14548,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81104673,0.0771,,,0,89.38,,5772,0.9,1,0,[Fe/H],,,689.814
14549,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81104673,,0.103,,,,,5705,0.96,0.98,0.02,[Fe/H],,4.27,689.814
14550,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81104673,0.0771,,,0,89.38,,5772,0.9,1,0,[Fe/H],,,689.814
14551,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81100952,0.0739,,,0,85.78,,5395,1.07,0.88,0.16,[Fe/H],,,689.814
14552,Kepler-163 b,Kepler-163,1,1,2,0,Transit,7.810937,0.078,0.094,,,,,5776,0.92,,,,,,689.814
14553,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81100952,,,,,,,5410.9,0.97,0.94,0.141,[M/H],-0.138,,689.814
14554,Kepler-163 b,Kepler-163,0,1,2,0,Transit,7.81101,0.076,,,0,87.66,,5736,0.85,0.96,,,,0.4,689.814
14555,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.3473612,0.1506,,,0,89.95,,5772,0.9,1,0,[Fe/H],,,689.814
14556,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.3473612,0.1506,,,0,89.95,,5772,0.9,1,0,[Fe/H],,,689.814
14557,Kepler-163 c,Kepler-163,0,1,2,0,Transit,,,0.243,,,,,5390,0.91,,,,,,689.814
14558,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.34736612,0.1445,,,0,87.5,,5395,1.07,0.88,0.16,[Fe/H],,,689.814
14559,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.3473612,0.1506,,,0,89.95,,5772,0.9,1,0,[Fe/H],,,689.814
14560,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.3473612,,0.214,,,,,5705,0.96,0.98,0.02,[Fe/H],,4.27,689.814
14561,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.34735877,,,,,,,5410.9,0.97,0.94,0.141,[M/H],-0.138,,689.814
14562,Kepler-163 c,Kepler-163,1,1,2,0,Transit,21.347262,0.152,0.202,,,,,5776,0.92,,,,,,689.814
14563,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.34735,0.149,,,0,88.24,,5736,0.85,0.96,,,,0.4,689.814
14564,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.34736612,,,,,,,5410.9,0.97,0.94,0.141,[M/H],-0.138,,689.814
14565,Kepler-163 c,Kepler-163,0,1,2,0,Transit,21.34739582,,,,,,,5410.9,0.97,0.94,0.141,[M/H],-0.138,,689.814
14566,Kepler-1630 b,Kepler-1630,0,1,1,0,Transit,509.997402,1.1218,,,0,89.95,,5037,0.76,0.72,-0.2,[Fe/H],,,331.213
14567,Kepler-1630 b,Kepler-1630,0,1,1,0,Transit,509.997402,,,,,,,4689,0.72,0.75,,,-0.646,,331.213
14568,Kepler-1630 b,Kepler-1630,1,1,1,0,Transit,509.997402,,0.195,,,,,4736,0.63,0.66,-0.46,[Fe/H],,5.01,331.213
14569,Kepler-1630 b,Kepler-1630,0,1,1,0,Transit,509.997402,1.1218,,,0,89.95,,5037,0.76,0.72,-0.2,[Fe/H],,,331.213
14570,Kepler-1631 b,Kepler-1631,0,1,1,0,Transit,,,0.169,,,,,5870,1.05,,,,,,1305.99
14571,Kepler-1631 b,Kepler-1631,0,1,1,0,Transit,4.09513876,,,,,,,5552,1.09,0.98,,,0.007,,1305.99
14572,Kepler-1631 b,Kepler-1631,1,1,1,0,Transit,4.09513932,,0.12,,,,,5679,0.95,0.97,0.04,[Fe/H],,4.17,1305.99
14573,Kepler-1631 b,Kepler-1631,0,1,1,0,Transit,4.09513932,0.0511,,,0,88.81,,5858,0.96,1.06,0.1,[Fe/H],,,1305.99
14574,Kepler-1631 b,Kepler-1631,0,1,1,0,Transit,4.09513876,0.0511,,,0,75.96,,5858,0.96,1.06,0.1,[Fe/H],,,1305.99
14575,Kepler-1631 b,Kepler-1631,0,1,1,0,Transit,4.09513932,0.0511,,,0,88.81,,5858,0.96,1.06,0.1,[Fe/H],,,1305.99
14576,Kepler-1632 b,Kepler-1632,0,1,1,0,Transit,448.303558,1.0846,,,0,89.95,,6070,0.81,0.84,-0.76,[Fe/H],,,716.76
14577,Kepler-1632 b,Kepler-1632,0,1,1,0,Transit,448.303558,1.0846,,,0,89.95,,6070,0.81,0.84,-0.76,[Fe/H],,,716.76
14578,Kepler-1632 b,Kepler-1632,1,1,1,0,Transit,448.303558,,0.22,,,,,6137,1.19,1.12,0,[Fe/H],,3.09,716.76
14579,Kepler-1632 b,Kepler-1632,0,1,1,0,Transit,224.150923,,,,,,,5979.67,1.49,1.1,-0.118,[M/H],0.406,,716.76
14580,Kepler-1632 b,Kepler-1632,0,1,1,0,Transit,,,0.252,,,,,6071,1.51,,,,,,716.76
14581,Kepler-1632 b,Kepler-1632,0,1,1,0,Transit,224.150923,0.6762,,,0,89.99,,6072,1.29,0.82,-0.76,[Fe/H],,,716.76
14582,Kepler-1633 b,Kepler-1633,0,1,1,0,Transit,62.134919,,,,,,,6168.72,1.84,1.18,-0.123,[M/H],0.646,,1114.91
14583,Kepler-1633 b,Kepler-1633,0,1,1,0,Transit,186.4042417,,,,,,,6168.72,1.84,1.18,-0.123,[M/H],0.646,,1114.91
14584,Kepler-1633 b,Kepler-1633,0,1,1,0,Transit,,,0.234,,,,,5875,1.92,,,,,,1114.91
14585,Kepler-1633 b,Kepler-1633,1,1,1,0,Transit,186.404271,,0.141,,,,,6256,1.32,1.2,0.02,[Fe/H],,2.82,1114.91
14586,Kepler-1633 b,Kepler-1633,0,1,1,0,Transit,62.134919,0.3875,,,0,88.51,,5889,4.91,2.01,0.28,[Fe/H],,,1114.91
14587,Kepler-1633 b,Kepler-1633,0,1,1,0,Transit,186.404271,0.6407,,,0,89.95,,6351,0.92,1.01,-0.5,[Fe/H],,,1114.91
14588,Kepler-1633 b,Kepler-1633,0,1,1,0,Transit,186.404271,0.6407,,,0,89.95,,6351,0.92,1.01,-0.5,[Fe/H],,,1114.91
14589,Kepler-1633 b,Kepler-1633,0,1,1,0,Transit,186.4077274,,,,,,,6168.72,1.84,1.18,-0.123,[M/H],0.646,,1114.91
14590,Kepler-1634 b,Kepler-1634,1,1,1,0,Transit,374.876239,,0.285,,,,,5474,0.89,0.92,0.02,[Fe/H],,4.47,617.339
14591,Kepler-1634 b,Kepler-1634,0,1,1,0,Transit,374.878133,,,,,,,5269.14,0.88,0.9,0.2,[M/H],-0.265,,617.339
14592,Kepler-1634 b,Kepler-1634,0,1,1,0,Transit,374.878133,1.0525,,,0,89.84,,5636,1.35,1.1,0.42,[Fe/H],,,617.339
14593,Kepler-1634 b,Kepler-1634,0,1,1,0,Transit,374.876239,1.0525,,,0,89.38,,5636,1.35,1.1,0.42,[Fe/H],,,617.339
14594,Kepler-1634 b,Kepler-1634,0,1,1,0,Transit,374.876239,1.0525,,,0,89.38,,5636,1.35,1.1,0.42,[Fe/H],,,617.339
14595,Kepler-1634 b,Kepler-1634,0,1,1,0,Transit,,,0.229,,,,,5637,0.81,,,,,,617.339
14596,Kepler-1635 b,Kepler-1635,0,1,1,0,Transit,469.61309,1.117,,,0,89.61,,5474,0.76,0.85,-0.28,[Fe/H],,,1069.45
14597,Kepler-1635 b,Kepler-1635,0,1,1,0,Transit,,,0.327,,,,,5240,0.86,,,,,,1069.45
14598,Kepler-1635 b,Kepler-1635,0,1,1,0,Transit,469.63111,1.1123,,,0,89.38,,5484,0.78,0.83,-0.28,[Fe/H],,,1069.45
14599,Kepler-1635 b,Kepler-1635,0,1,1,0,Transit,469.63111,1.1123,,,0,89.38,,5484,0.78,0.83,-0.28,[Fe/H],,,1069.45
14600,Kepler-1635 b,Kepler-1635,0,1,1,0,Transit,469.61309,,,,,,,5209,0.89,0.89,,,-0.28,,1069.45
14601,Kepler-1635 b,Kepler-1635,1,1,1,0,Transit,469.63111,,0.325,,,,,5347,0.85,0.89,0.06,[Fe/H],,4.9,1069.45
14602,Kepler-1636 b,Kepler-1636,0,1,1,0,Transit,425.483539,,,,,,,5619.51,1.39,0.99,0.146,[M/H],0.237,,1947.54
14603,Kepler-1636 b,Kepler-1636,0,1,1,0,Transit,425.483539,1.1546,,,0,89.99,,5977,1.02,1.13,0.21,[Fe/H],,,1947.54
14604,Kepler-1636 b,Kepler-1636,0,1,1,0,Transit,,,0.363,,,,,5726,1.3,,,,,,1947.54
14605,Kepler-1636 b,Kepler-1636,1,1,1,0,Transit,425.47785,,0.288,,,,,5797,1.02,1.01,0.03,[Fe/H],,3.98,1947.54
14606,Kepler-1636 b,Kepler-1636,0,1,1,0,Transit,425.47785,1.1546,,,0,89.95,,5977,1.02,1.13,0.21,[Fe/H],,,1947.54
14607,Kepler-1636 b,Kepler-1636,0,1,1,0,Transit,425.47785,1.1546,,,0,89.95,,5977,1.02,1.13,0.21,[Fe/H],,,1947.54
14608,Kepler-1637 b,Kepler-1637,0,1,1,0,Transit,6.10968225,,,,,,,,,,,,,,567.187
14609,Kepler-1637 b,Kepler-1637,1,1,1,0,Transit,6.10960324,,0.079,,,,,5789,1.02,1.02,0.07,[Fe/H],,4.17,567.187
14610,Kepler-1637 b,Kepler-1637,0,1,1,0,Transit,6.10968225,0.0596,,,0,89.24,,6024,1.01,0.76,-0.88,[Fe/H],,,567.187
14611,Kepler-1637 b,Kepler-1637,0,1,1,0,Transit,6.10960324,0.0596,,,0,89.38,,6024,1.01,0.76,-0.88,[Fe/H],,,567.187
14612,Kepler-1637 b,Kepler-1637,0,1,1,0,Transit,6.10972093,,,,,,,,,,,,,,567.187
14613,Kepler-1637 b,Kepler-1637,0,1,1,0,Transit,6.10960324,0.0596,,,0,89.38,,6024,1.01,0.76,-0.88,[Fe/H],,,567.187
14614,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,259.33683,0.7307,,,0,89.38,,5906,0.85,0.77,-0.76,[Fe/H],,,1525.52
14615,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,259.34304,0.9302,,,0,89.77,,5490,3.2,1.59,0.24,[Fe/H],,,1525.52
14616,Kepler-1638 b,Kepler-1638,1,1,1,0,Transit,259.33683,,0.167,,,,,5710,0.95,0.97,-0.01,[Fe/H],,4.37,1525.52
14617,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,,,0.288,,,,,5488,1.71,,,,,,1525.52
14618,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,259.342058,,,,,,,5745,1.62,1.03,,,0.413,,1525.52
14619,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,259.365,0.745,0.143,,,89.995,,5906,0.83,0.82,-0.76,[Fe/H],-0.114,5.7,1525.52
14620,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,259.3028345,,,,,,,5745,1.62,1.03,,,0.413,,1525.52
14621,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,259.34304,,,,,,,5745,1.62,1.03,,,0.413,,1525.52
14622,Kepler-1638 b,Kepler-1638,0,1,1,0,Transit,259.33683,0.7307,,,0,89.38,,5906,0.85,0.77,-0.76,[Fe/H],,,1525.52
14623,Kepler-1639 b,Kepler-1639,0,1,1,0,Transit,9.8788502,0.0932,,,0,87.7,,6477,1.15,1.1,-0.26,[Fe/H],,,1031.31
14624,Kepler-1639 b,Kepler-1639,0,1,1,0,Transit,,,0.208,,,,,6480,1.01,,,,,,1031.31
14625,Kepler-1639 b,Kepler-1639,0,1,1,0,Transit,9.87892482,,,,,,,6175,1.03,1.18,,,0.145,,1031.31
14626,Kepler-1639 b,Kepler-1639,0,1,1,0,Transit,9.878482,0.0934,,,0,89.95,,6495,1.15,1.11,-0.26,[Fe/H],,,1031.31
14627,Kepler-1639 b,Kepler-1639,0,1,1,0,Transit,9.878482,0.0934,,,0,89.95,,6495,1.15,1.11,-0.26,[Fe/H],,,1031.31
14628,Kepler-1639 b,Kepler-1639,1,1,1,0,Transit,9.878482,,0.23,,,,,6150,1.18,1.12,-0.03,[Fe/H],,3.16,1031.31
14629,Kepler-1639 b,Kepler-1639,0,1,1,0,Transit,9.8788502,,,,,,,6175,1.03,1.18,,,0.145,,1031.31
14630,Kepler-1639 b,Kepler-1639,0,1,1,0,Transit,9.87895944,,,,,,,6175,1.03,1.18,,,0.145,,1031.31
14631,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.03506543,0.059,,,0,89.95,,6353,1.14,1.08,-0.14,[Fe/H],,,890.758
14632,Kepler-164 b,Kepler-164,1,1,4,0,Transit,5.03503,0.058,0.126,,,,,5888,1.15,,,,,,890.758
14633,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.03505665,,,,,,,6095,1.02,1.14,,,0.113,,890.758
14634,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.03506543,0.059,,,0,89.95,,6353,1.14,1.08,-0.14,[Fe/H],,,890.758
14635,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.03506543,0.059,,,0,89.95,,6353,1.14,1.08,-0.14,[Fe/H],,,890.758
14636,Kepler-164 b,Kepler-164,0,1,4,0,Transit,,,0.138,,,,,5923,1.04,,,,,,890.758
14637,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.03506543,,0.132,,,,,6048,1.13,1.09,0,[Fe/H],,3.47,890.758
14638,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.035023,0.06,,,0,87.09,,6361,1.1,1.15,,,,0.62,890.758
14639,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.03504052,,,,,,,6095,1.02,1.14,,,0.113,,890.758
14640,Kepler-164 b,Kepler-164,0,1,4,0,Transit,5.03505665,0.0568,,,0,84.49,,5888,1.1,0.97,-0.1,[Fe/H],,,890.758
14641,Kepler-164 c,Kepler-164,0,1,4,0,Transit,10.94577222,0.0991,,,0,89.38,,6353,1.14,1.08,-0.14,[Fe/H],,,890.758
14642,Kepler-164 c,Kepler-164,0,1,4,0,Transit,10.94577222,0.0991,,,0,89.38,,6353,1.14,1.08,-0.14,[Fe/H],,,890.758
14643,Kepler-164 c,Kepler-164,0,1,4,0,Transit,10.94577783,,,,,,,6095,1.02,1.14,,,0.113,,890.758
14644,Kepler-164 c,Kepler-164,0,1,4,0,Transit,,,0.24,,,,,5923,1.04,,,,,,890.758
14645,Kepler-164 c,Kepler-164,0,1,4,0,Transit,10.94577783,0.0954,,,0,87.17,,5888,1.1,0.97,-0.1,[Fe/H],,,890.758
