a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,stable1,stable2
0.9901224489795917,1.3143397836447095,10.0,1.685839999007961,68.14264768717804,0.9901224489795917,1.3143397836447095,10.0,12.473204856227566,143.8274325043877,0,0
0.9901224489795917,1.3357111622405584,10.0,0.8967411666903817,149.2488540106186,0.9901224489795917,1.3357111622405584,10.0,1.017585127559714,159.5546415081924,0,0
0.9901224489795917,1.3570825408364071,10.0,1.7897528007253216,167.83831728881418,0.9901224489795917,1.3570825408364071,10.0,1.329286402781177,159.3657790451185,0,0
0.9901224489795917,1.3784539194322563,10.0,1.091911231240772,107.2769301566805,0.9901224489795917,1.3784539194322563,10.0,0.925476574347164,109.56678208283407,0,0
0.9901224489795917,1.3998252980281052,10.0,1.0131509256057851,27.94824542693967,0.9901224489795917,1.3998252980281052,10.0,8.639971187647781,35.88714129314101,0,0
0.9901224489795917,1.421196676623954,10.0,1.0531109790456192,79.52410713154262,0.9901224489795917,1.421196676623954,10.0,0.9466610936526778,156.51091744544368,0,0
0.9901224489795917,1.442568055219803,10.0,6.8877712235419635,119.00333797922325,0.9901224489795917,1.442568055219803,10.0,3.529084829020933,118.05465058666088,0,0
0.9901224489795917,1.463939433815652,10.0,2.683694877977224,328.3928646921226,0.9901224489795917,1.463939433815652,10.0,1.2637010881584405,100.66125282856792,0,0
0.9901224489795917,1.4853108124115009,10.0,2.5869762700662857,128.1323084025192,0.9901224489795917,1.4853108124115009,10.0,1.1091068363547287,42.45901651974791,0,0
0.9901224489795917,1.50668219100735,10.0,0.8951037972058142,127.198038309512,0.9901224489795917,1.50668219100735,10.0,3.833117496609273,59.70461452120933,0,0
0.9901224489795917,1.5280535696031987,10.0,1.352889236370976,89.93670803029563,0.9901224489795917,1.5280535696031987,10.0,3.640465735226648,102.33892112367882,0,0
0.9901224489795917,1.5494249481990479,10.0,2.7056421480515933,212.2111949910828,0.9901224489795917,1.5494249481990479,10.0,1.1693537156788798,90.12483010742297,0,0
0.9901224489795917,1.5707963267948963,10.0,0.9407988359444512,27.980074582695966,0.9901224489795917,1.5707963267948963,10.0,0.94387571232594,86.6055690673518,0,0
0.9922448979591838,0.5235987755982988,10.0,1.9961869734538045,73.05208507128557,0.9922448979591838,0.5235987755982988,10.0,1.0084721789785882,207.67356791995084,0,0
0.9922448979591838,0.5449701541941476,10.0,3.486967235954993,68.75436313667838,0.9922448979591838,0.5449701541941476,10.0,0.917701212322379,148.04786411475587,0,0
0.9922448979591838,0.5663415327899968,10.0,1.1451700618630611,163.1423410541131,0.9922448979591838,0.5663415327899968,10.0,1.0038242428445807,21.706284261535625,0,0
0.9922448979591838,0.5877129113858456,10.0,1.6728791061077075,118.11040949215587,0.9922448979591838,0.5877129113858456,10.0,1.6112305662875384,153.53116352751073,0,0
0.9922448979591838,0.6090842899816946,10.0,0.9205522079579672,66.52557307918318,0.9922448979591838,0.6090842899816946,10.0,1.091172701697777,11.107054860224192,0,0
0.9922448979591838,0.6304556685775435,10.0,0.9789681647163685,44.67654358033904,0.9922448979591838,0.6304556685775435,10.0,1.4414091551067234,282.5056124704922,0,0
0.9922448979591838,0.6518270471733925,10.0,1.1863060179351548,145.54984367505966,0.9922448979591838,0.6518270471733925,10.0,1.8508366512723804,210.60242750865288,0,0
0.9922448979591838,0.6731984257692414,10.0,1.6489813750070164,18.784302726951665,0.9922448979591838,0.6731984257692414,10.0,1.046211984297842,71.14732628566848,0,0
0.9922448979591838,0.6945698043650903,10.0,1.989438084958486,87.53718874789251,0.9922448979591838,0.6945698043650903,10.0,1.0294302061733402,139.88720712192446,0,0
0.9922448979591838,0.7159411829609392,10.0,1.0495890994040924,118.78357150558656,0.9922448979591838,0.7159411829609392,10.0,1.2685849847040636,269.35892677389296,0,0
0.9922448979591838,0.7373125615567881,10.0,1.2987600818460805,31.429674684179517,0.9922448979591838,0.7373125615567881,10.0,107.28157069285452,162.71599906843758,0,0
0.9922448979591838,0.758683940152637,10.0,1.7594617630677472,49.373666068997046,0.9922448979591838,0.758683940152637,10.0,1.6411321813016355,107.167045873038,0,0
