a1,f1,megno1,final_e1,final_theta1
9.879999999999999893e-01,1.228854269261313803e+00,1.000000000000000000e+01,2.175532139636466411e+01,1.357879244419376334e+02
9.879999999999999893e-01,1.250225647857162503e+00,1.000000000000000000e+01,2.368730831496735846e+03,4.528827000206315034e+01
9.879999999999999893e-01,1.271597026453011647e+00,1.000000000000000000e+01,1.040415388977524946e+00,8.684498644243485899e+01
9.879999999999999893e-01,1.292968405048860348e+00,-1.041432441639213494e+03,8.468432584556664366e-01,9.161651701650923485e+01
9.879999999999999893e-01,1.314339783644709492e+00,1.000000000000000000e+01,1.790830823436126762e+00,2.554100117745202283e+02
9.879999999999999893e-01,1.335711162240558414e+00,1.000000000000000000e+01,8.971106227341295591e-01,2.368904204335497070e+02
9.879999999999999893e-01,1.357082540836407336e+00,1.000000000000000000e+01,3.041862679008215942e+00,6.462710654153131884e+01
9.879999999999999893e-01,1.378453919432256258e+00,1.503808959373019570e+04,8.778573913423829422e-01,4.672427982799557178e+00
9.879999999999999893e-01,1.399825298028105180e+00,7.192659655253308301e+03,8.149487765574553455e-01,1.863755445039972969e+01
9.879999999999999893e-01,1.421196676623954103e+00,1.000000000000000000e+01,1.180606777896142212e+00,3.472093511584502323e+01
9.879999999999999893e-01,1.442568055219803025e+00,1.000000000000000000e+01,2.128206212169772460e+00,2.764751598891363074e+02
9.879999999999999893e-01,1.463939433815652169e+00,1.000000000000000000e+01,1.169039976116728274e+00,8.962923085137991563e+01
9.879999999999999893e-01,1.485310812411500869e+00,1.000000000000000000e+01,1.022747395554335359e+00,2.234325687570924401e+02
9.879999999999999893e-01,1.506682191007350013e+00,1.000000000000000000e+01,1.621762502633997238e+00,1.453987637483592152e+02
9.879999999999999893e-01,1.528053569603198714e+00,1.000000000000000000e+01,9.775127100245505352e-01,9.526915676655230314e+00
9.879999999999999893e-01,1.549424948199047858e+00,1.000000000000000000e+01,1.564427499942446564e+00,1.065757067984832389e+02
9.879999999999999893e-01,1.570796326794896558e+00,1.000000000000000000e+01,2.886911682297778281e+00,2.812545393302830234e+02
9.901224489795917849e-01,5.235987755982988157e-01,1.000000000000000000e+01,1.321056093186431113e+01,5.981481448056302952e+01
9.901224489795917849e-01,5.449701541941477378e-01,1.000000000000000000e+01,1.303280895210965129e+00,2.081056151491462458e+02
9.901224489795917849e-01,5.663415327899966600e-01,1.000000000000000000e+01,3.639839559426246560e+05,1.743985572969485887e+01
9.901224489795917849e-01,5.877129113858455822e-01,9.714551040380179074e+02,6.787738357615535900e-01,2.057547142864573857e+02
9.901224489795917849e-01,6.090842899816946154e-01,3.887200821308810532e+02,9.760797821956291864e-01,1.510188429024856127e+01
9.901224489795917849e-01,6.304556685775435376e-01,1.000000000000000000e+01,2.955111420611905793e+00,1.383210273070866378e+02
9.901224489795917849e-01,6.518270471733924598e-01,1.000000000000000000e+01,2.966856972326832764e+00,2.976219262215196082e+01
9.901224489795917849e-01,6.731984257692413820e-01,1.000000000000000000e+01,1.001619223545134219e+00,3.769416729500576935e+01
9.901224489795917849e-01,6.945698043650903042e-01,1.000000000000000000e+01,2.541025522695028016e+00,2.123112807640240263e+01
9.901224489795917849e-01,7.159411829609392264e-01,1.000000000000000000e+01,1.886926841252021703e+01,1.780983718347792433e+02
9.901224489795917849e-01,7.373125615567881486e-01,1.000000000000000000e+01,1.180602643007539809e+00,1.506947900838976864e+02
9.901224489795917849e-01,7.586839401526370708e-01,1.000000000000000000e+01,1.007499794220320988e+00,7.033151477900769066e+01
9.901224489795917849e-01,7.800553187484859929e-01,1.000000000000000000e+01,1.739665007815688336e+00,1.127491783363445705e+02
9.901224489795917849e-01,8.014266973443349151e-01,1.000000000000000000e+01,9.863825325945256850e-01,5.314817123396182552e+01
9.901224489795917849e-01,8.227980759401839483e-01,1.000000000000000000e+01,3.888298656950261112e+00,1.503808232542527037e+02
9.901224489795917849e-01,8.441694545360328705e-01,1.000000000000000000e+01,2.469898217814611598e+02,2.473300533525062406e+02
9.901224489795917849e-01,8.655408331318817927e-01,1.000000000000000000e+01,4.429852523633034167e+01,5.177672921718013299e+01
9.901224489795917849e-01,8.869122117277307149e-01,1.000000000000000000e+01,6.555804913025256475e+00,2.294864840187694597e+02
9.901224489795917849e-01,9.082835903235796371e-01,1.457094317869089650e+02,6.999086320537043493e-01,4.084982455192844242e+01
9.901224489795917849e-01,9.296549689194286703e-01,1.000000000000000000e+01,1.071666680639413505e+00,7.237033166651607985e+01
9.901224489795917849e-01,9.510263475152775925e-01,1.000000000000000000e+01,1.555716023149019556e+01,1.327139718958372328e+02
9.901224489795917849e-01,9.723977261111265147e-01,1.000000000000000000e+01,7.123177455943148217e+00,1.313728418823700110e+02
9.901224489795917849e-01,9.937691047069754369e-01,1.000000000000000000e+01,1.135044914191800647e+00,2.156317033341592264e+02
9.901224489795917849e-01,1.015140483302824359e+00,1.000000000000000000e+01,5.123699642969484103e+00,2.367086019306207163e+02
