a1,f1,megno1,final_e1,final_theta1
2.003571428571428559e+00,1.528053569603198714e+00,1.145075039347860368e+01,4.829360875264154113e-02,2.730952863250764651e+01
2.003571428571428559e+00,1.549424948199047858e+00,1.000000000000000000e+01,9.648290034578305141e-01,2.692004015828025558e+02
2.003571428571428559e+00,1.570796326794896558e+00,1.099746662275644482e+01,4.243561523882893177e-02,9.370871720835647523e+01
2.007857142857143007e+00,5.235987755982988157e-01,1.000000000000000000e+01,1.031446980707613426e+00,1.466920790894880611e+02
2.007857142857143007e+00,5.449701541941477378e-01,1.000000000000000000e+01,9.805760929187548047e-01,1.251789604692326350e+02
2.007857142857143007e+00,5.663415327899966600e-01,1.000000000000000000e+01,5.020558215078228415e+00,9.741735327427183222e+01
2.007857142857143007e+00,5.877129113858455822e-01,1.000000000000000000e+01,8.826719361319059765e-01,4.744936679806868796e+01
2.007857142857143007e+00,6.090842899816946154e-01,1.000000000000000000e+01,8.143514187443554597e-01,7.101818346880686761e+01
2.007857142857143007e+00,6.304556685775435376e-01,1.000000000000000000e+01,8.827866118471811019e-01,2.955910656926175761e+02
2.007857142857143007e+00,6.518270471733924598e-01,1.000000000000000000e+01,1.092802161107280012e+00,1.567308627273643253e+02
2.007857142857143007e+00,6.731984257692413820e-01,1.000000000000000000e+01,9.598708005265403909e-01,8.390024276962616057e+01
2.007857142857143007e+00,6.945698043650903042e-01,1.000000000000000000e+01,6.982128623591191717e+04,8.189035436440033777e+01
2.007857142857143007e+00,7.159411829609392264e-01,1.000000000000000000e+01,1.226552717927099412e+00,1.423349580105420387e+02
2.007857142857143007e+00,7.373125615567881486e-01,1.000000000000000000e+01,4.246468331834543086e+00,5.468092944044732917e+01
2.007857142857143007e+00,7.586839401526370708e-01,7.749016745599121236e+00,1.407149964939667132e-02,7.100305229355177516e+01
2.007857142857143007e+00,7.800553187484859929e-01,4.561006577986173482e+00,7.992416813982508583e-03,1.146535112960957576e+02
2.007857142857143007e+00,8.014266973443349151e-01,1.000000000000000000e+01,2.678892021491396491e+00,1.445609733221483850e+02
2.007857142857143007e+00,8.227980759401839483e-01,5.104019894331309537e+00,2.277016985828042225e-02,9.565687020803102314e+01
2.007857142857143007e+00,8.441694545360328705e-01,4.528873125107752529e+00,2.058169384149542355e-02,9.612411285073852696e+01
2.007857142857143007e+00,8.655408331318817927e-01,6.830664676238202837e+00,3.551958973250742696e-02,1.181774107837726007e+02
2.007857142857143007e+00,8.869122117277307149e-01,1.000000000000000000e+01,7.215981664114591965e+00,3.723571656110407702e+01
2.007857142857143007e+00,9.082835903235796371e-01,2.033479168420479599e+00,1.114080208184209907e-02,7.413027830535818907e+01
2.007857142857143007e+00,9.296549689194286703e-01,1.907470239586352534e+00,5.743799292370776848e-03,7.621698921464053456e+01
2.007857142857143007e+00,9.510263475152775925e-01,1.857388837429140738e+00,2.192978539784405483e-03,6.207569364451553895e+01
2.007857142857143007e+00,9.723977261111265147e-01,1.954580913835886058e+00,9.367716461934003092e-03,1.044790979419840937e+02
2.007857142857143007e+00,9.937691047069754369e-01,2.031738556732538115e+00,1.805274347400288512e-02,7.572043810965435284e+01
2.007857142857143007e+00,1.015140483302824359e+00,1.946926403422756691e+00,7.409439031573008400e-03,3.329689623158598977e+01
2.007857142857143007e+00,1.036511861898673281e+00,2.011033307327676045e+00,1.540500124562590306e-02,6.189224894298963164e+01
2.007857142857143007e+00,1.057883240494522203e+00,2.005183895787059356e+00,2.165833623312381911e-02,8.983452165903240427e+01
2.007857142857143007e+00,1.079254619090371126e+00,1.973709467464054512e+00,2.457761619243496384e-02,1.007905793880009213e+02
2.007857142857143007e+00,1.100625997686220048e+00,2.011379834300707881e+00,2.638258485513684734e-02,1.022973872157842266e+02
2.007857142857143007e+00,1.121997376282068970e+00,2.022749545168688545e+00,2.729147133483892859e-02,1.029564805582419353e+02
2.007857142857143007e+00,1.143368754877918114e+00,2.009088019325854901e+00,2.741156987342500267e-02,1.029992994084632301e+02
2.007857142857143007e+00,1.164740133473766814e+00,2.007105968454388822e+00,2.623240417872757177e-02,1.024776829148482733e+02
2.007857142857143007e+00,1.186111512069615959e+00,1.971573397362206714e+00,2.533307508538600386e-02,1.021470433084273850e+02
2.007857142857143007e+00,1.207482890665464659e+00,1.966341854152494628e+00,2.210184261775390707e-02,9.484602331021768862e+01
2.007857142857143007e+00,1.228854269261313803e+00,2.010130946744729474e+00,1.800933609389083340e-02,7.775163986079527945e+01
2.007857142857143007e+00,1.250225647857162503e+00,1.985316399377798469e+00,1.163651545386086214e-02,4.756003228279107020e+01
2.007857142857143007e+00,1.271597026453011647e+00,2.023471733731896816e+00,9.600955983982714312e-03,3.695947767568091535e+01
2.007857142857143007e+00,1.292968405048860348e+00,2.018908814778435090e+00,1.752798370792655810e-02,7.527924633820107658e+01
2.007857142857143007e+00,1.314339783644709492e+00,2.005742947109133034e+00,1.201698575734415006e-02,1.035691415283489221e+02
2.007857142857143007e+00,1.335711162240558414e+00,2.009699236071793571e+00,7.511726134054892874e-03,9.163342728091136280e+01
2.007857142857143007e+00,1.357082540836407336e+00,1.842526228721932391e+00,6.732850746260516349e-03,3.524739115733652994e+01
2.007857142857143007e+00,1.378453919432256258e+00,1.987626358729896792e+00,8.029234986599085092e-03,7.859372431758465893e+01
2.007857142857143007e+00,1.399825298028105180e+00,2.024534921728084580e+00,9.556237649592437544e-03,1.040614516363881847e+02
2.007857142857143007e+00,1.421196676623954103e+00,2.030235114887059211e+00,1.404235480145945431e-02,3.001881547944575601e+01
2.007857142857143007e+00,1.442568055219803025e+00,8.099423997447885881e+00,7.041673131811352661e-03,3.099333833915692082e+01
2.007857142857143007e+00,1.463939433815652169e+00,7.170823824635728982e+00,3.611573525061208267e-02,1.005346459345753374e+02
2.007857142857143007e+00,1.485310812411500869e+00,1.000000000000000000e+01,8.678719520506451346e+00,1.125927372045719324e+02
2.007857142857143007e+00,1.506682191007350013e+00,2.012308263176418865e+00,3.552695507098644484e-02,1.047185349440539284e+02
2.007857142857143007e+00,1.528053569603198714e+00,1.000000000000000000e+01,1.145799623289117886e+00,8.671399127111274652e+01
2.007857142857143007e+00,1.549424948199047858e+00,2.882417129042575077e+00,1.816296125349511556e-02,1.107492379930985749e+02
2.007857142857143007e+00,1.570796326794896558e+00,3.324896051456232904e+00,1.158374786115459916e-02,2.790961228366968783e+01
2.012142857142857455e+00,5.235987755982988157e-01,1.000000000000000000e+01,1.190645734291167157e+00,1.278737189383053448e+02
2.012142857142857455e+00,5.449701541941477378e-01,1.000000000000000000e+01,9.578625390970075815e-01,1.256853785257593898e+02
2.012142857142857455e+00,5.663415327899966600e-01,1.000000000000000000e+01,2.000394510696452244e+00,4.398364559518966388e+01
2.012142857142857455e+00,5.877129113858455822e-01,1.000000000000000000e+01,3.264447256963513411e+01,1.975490530856544922e+02
2.012142857142857455e+00,6.090842899816946154e-01,1.000000000000000000e+01,6.121052006365460763e+00,2.232030176322003570e+02
2.012142857142857455e+00,6.304556685775435376e-01,1.000000000000000000e+01,1.665990210620099443e+00,2.568780942920729782e+00
2.012142857142857455e+00,6.518270471733924598e-01,1.000000000000000000e+01,1.425936505313958547e+00,7.611495758987776128e+01
2.012142857142857455e+00,6.731984257692413820e-01,1.000000000000000000e+01,1.046738903458374281e+00,1.522789968411266415e+01
2.012142857142857455e+00,6.945698043650903042e-01,1.000000000000000000e+01,1.481789549249375559e+00,3.625038356540756013e+01
2.012142857142857455e+00,7.159411829609392264e-01,1.000000000000000000e+01,9.646697954484951820e-01,2.500220167922925611e+02
2.012142857142857455e+00,7.373125615567881486e-01,1.000000000000000000e+01,3.069411439266355046e+01,1.383788489705430038e+02
2.012142857142857455e+00,7.586839401526370708e-01,2.969557007511403945e+00,2.303396651531749648e-02,1.080400862682648011e+02
2.012142857142857455e+00,7.800553187484859929e-01,1.000000000000000000e+01,8.226410859030738321e-01,5.569276307481514721e+01
2.012142857142857455e+00,8.014266973443349151e-01,1.000000000000000000e+01,9.885249581009936115e-01,1.977218442170626034e+01
2.012142857142857455e+00,8.227980759401839483e-01,9.225620250195285976e+00,1.057432527910243635e-02,1.171958535378143438e+02
2.012142857142857455e+00,8.441694545360328705e-01,1.000000000000000000e+01,5.523504419865682280e+01,9.393456205523492031e+01
2.012142857142857455e+00,8.655408331318817927e-01,2.020287837818556920e+00,6.136722957976172184e-03,1.011799835448194784e+02
2.012142857142857455e+00,8.869122117277307149e-01,1.987043488343883446e+00,9.782627861219710466e-03,3.082340294683961091e+01
2.012142857142857455e+00,9.082835903235796371e-01,1.904440048049908851e+00,1.203760534811421264e-02,1.042989134181073467e+02
2.012142857142857455e+00,9.296549689194286703e-01,2.006033310741902831e+00,9.561810216813612651e-03,3.551379003370742282e+01
2.012142857142857455e+00,9.510263475152775925e-01,2.003965065385625799e+00,2.293580836642813287e-02,9.223742461494549616e+01
2.012142857142857455e+00,9.723977261111265147e-01,1.999689576081284059e+00,3.190334819700785945e-02,9.571737640512252199e+01
2.012142857142857455e+00,9.937691047069754369e-01,2.024732828782600080e+00,3.488536576091830904e-02,5.132274298682241920e+01
2.012142857142857455e+00,1.015140483302824359e+00,2.200358958158082689e+00,3.229948868264745365e-02,5.397157584090109594e+01
2.012142857142857455e+00,1.036511861898673281e+00,1.965626314703655897e+00,3.745957697074959319e-02,7.717922647899604272e+01
2.012142857142857455e+00,1.057883240494522203e+00,2.008802225171568701e+00,4.102553392619203571e-02,9.583791340952507198e+01
2.012142857142857455e+00,1.079254619090371126e+00,1.987435716669636809e+00,4.323192312269890508e-02,9.961778250088366349e+01
2.012142857142857455e+00,1.100625997686220048e+00,1.983672871183072228e+00,4.513229915395739617e-02,9.816954730291105591e+01
2.012142857142857455e+00,1.121997376282068970e+00,2.029373671640164911e+00,4.516485505014748714e-02,9.373695705313218696e+01
2.012142857142857455e+00,1.143368754877918114e+00,2.006535061409250087e+00,4.515650895720180191e-02,9.279263637997178193e+01
2.012142857142857455e+00,1.164740133473766814e+00,1.988059774512874522e+00,4.452950511655046767e-02,9.491228521663272488e+01
2.012142857142857455e+00,1.186111512069615959e+00,2.025414994046332406e+00,4.347074490713796063e-02,9.932716775349182114e+01
