a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,a3,f3,megno3,final_e3,final_theta3,stable1,stable2,stable3
1.9992857142857143,0.6731984257692414,10.0,2.086799133818028,33.76405363335618,1.9992857142857143,0.6731984257692414,10.0,1.051628480859507,106.98226244313686,1.9992857142857143,0.6731984257692414,10.0,1.1635468723009603,122.23940158411315,0,0,0
1.9992857142857143,0.6945698043650903,10.0,243.7932876525336,33.3060288650129,1.9992857142857143,0.6945698043650903,118.4045453834302,0.5337522027241396,213.5084650251023,1.9992857142857143,0.6945698043650903,10.0,1.840861401537768,8.305412484109421,0,0,0
1.9992857142857143,0.7159411829609392,10.0,15.821042595571093,200.35943286443185,1.9992857142857143,0.7159411829609392,10.0,0.8005966612896132,38.39398027749985,1.9992857142857143,0.7159411829609392,10.0,1.1895029767355327,172.22013722905268,0,0,0
1.9992857142857143,0.7373125615567881,10.0,1.816038763088432,70.4087926321638,1.9992857142857143,0.7373125615567881,10.0,4.009868056715486,202.5574724330024,1.9992857142857143,0.7373125615567881,10.0,32.94960402077648,11.822543818790807,0,0,0
1.9992857142857143,0.758683940152637,10.0,0.9992561614041788,107.01499006674248,1.9992857142857143,0.758683940152637,10.0,1.097836925604291,56.77866810869858,1.9992857142857143,0.758683940152637,8.984266701295185,0.02427984436596939,118.5012909964534,0,0,0
1.9992857142857143,0.7800553187484861,26.324132525226688,0.2812452310025041,80.65391923996854,1.9992857142857143,0.7800553187484861,6.461495208337936,0.07846107895880022,46.372784449789954,1.9992857142857143,0.7800553187484861,16.547794173689724,0.09383696091645444,122.95733824361626,0,0,0
1.9992857142857143,0.8014266973443349,6.711734262422409,0.040522070190454645,113.32952404553804,1.9992857142857143,0.8014266973443349,10.633396732248515,0.03788541574653171,50.42034019108471,1.9992857142857143,0.8014266973443349,2.641220594708153,0.04128903478494134,31.6309094964183,0,0,0
1.9992857142857143,0.8227980759401838,10.0,1.36815595184762,218.97028038057567,1.9992857142857143,0.8227980759401838,10.0,2.1130829157615127,84.88376893079274,1.9992857142857143,0.8227980759401838,10.0,0.9030422096117424,13.973524717334758,0,0,0
1.9992857142857143,0.8441694545360328,2.3650301373056632,0.029298154771213853,87.41232338598566,1.9992857142857143,0.8441694545360328,10.0,2.0806378743615017,175.65150022649146,1.9992857142857143,0.8441694545360328,10.0,0.8423886026761842,115.39745606500378,0,0,0
1.9992857142857143,0.8655408331318819,2.530452040676635,0.030285437059037964,109.99834203179915,1.9992857142857143,0.8655408331318819,20.602245418960848,0.3013548575575474,111.43436873759703,1.9992857142857143,0.8655408331318819,5.550236154282821,0.04321016450983213,53.351829550066725,0,0,0
1.9992857142857143,0.8869122117277307,8.62488318443076,0.06021192851006535,78.87618818907957,1.9992857142857143,0.8869122117277307,3.8070660322870142,0.08295833326559425,110.63940624221108,1.9992857142857143,0.8869122117277307,3.463888473618717,0.059381009916518165,46.415519743951975,0,0,0
1.9992857142857143,0.9082835903235795,17.800570992852,0.05621186695991531,108.5733946725802,1.9992857142857143,0.9082835903235795,10.0,0.8566725032401512,132.02704588942015,1.9992857142857143,0.9082835903235795,6.2749089257633965,0.047656960937482035,72.09845084379167,0,0,0
1.9992857142857143,0.9296549689194287,3.493959913609594,0.02514739539609913,43.49219423676264,1.9992857142857143,0.9296549689194287,10.0,5.644969318211606,137.00950929091314,1.9992857142857143,0.9296549689194287,10.0,1.2007028870154828,140.42670996336267,0,0,0
1.9992857142857143,0.9510263475152778,8.267510279862394,0.011364220082248229,31.194437033472695,1.9992857142857143,0.9510263475152778,10.0,1.0525393116084385,256.85078895979467,1.9992857142857143,0.9510263475152778,10.279656359365198,0.05040108778079707,68.08439075967594,0,0,0
1.9992857142857143,0.9723977261111264,3.1291548929553765,0.050555289061602206,37.67292343515304,1.9992857142857143,0.9723977261111264,15.077407672512589,0.03146788719619304,44.04122876554972,1.9992857142857143,0.9723977261111264,7.287944818640377,0.087071011173353,48.8894830697305,0,0,0
1.9992857142857143,0.9937691047069753,5.950997580156681,0.006653494855390335,41.850963383112145,1.9992857142857143,0.9937691047069753,14.877610374430303,0.06428942312296121,134.14712300240072,1.9992857142857143,0.9937691047069753,10.0,0.9429468567232488,235.03773603361967,0,0,0
1.9992857142857143,1.0151404833028244,10.412365189840655,0.007710902767419531,88.31504169112854,1.9992857142857143,1.0151404833028244,10.0,1.0003837037516699,37.54386077941757,1.9992857142857143,1.0151404833028244,4.615435211810217,0.024512928887136444,107.27932841808433,0,0,0
1.9992857142857143,1.0365118618986733,16.25987395692567,0.2569653719598896,127.60834223577976,1.9992857142857143,1.0365118618986733,10.0,1.0628388056361988,14.108570455118427,1.9992857142857143,1.0365118618986733,10.0,0.8609427091027331,87.11959837909846,0,0,0
1.9992857142857143,1.0578832404945222,1.977397280960988,0.004883938554095581,79.46690740777102,1.9992857142857143,1.0578832404945222,10.796882383724112,0.2148442181337666,32.935343440212094,1.9992857142857143,1.0578832404945222,9.004299620201028,0.07717050892234019,111.57703107747828,1,0,0
1.9992857142857143,1.0792546190903711,1.8860019371055168,0.008740910753183574,42.3887574649756,1.9992857142857143,1.0792546190903711,2.6704419220948337,0.07405554228161063,48.98741366421756,1.9992857142857143,1.0792546190903711,10.0,3.583030458657809,136.3447910523638,0,0,0
1.9992857142857143,1.10062599768622,1.9811945029094409,0.013964435982532547,31.034212095626646,1.9992857142857143,1.10062599768622,10.0,187.4336804655192,202.74443911198907,1.9992857142857143,1.10062599768622,10.0,1.0732242451819618,136.22513614015537,1,0,0
1.9992857142857143,1.1219973762820687,2.0313186611661345,0.014745059507678088,30.049275221852767,1.9992857142857143,1.1219973762820687,10.0,0.8001622367010361,135.8829881743907,1.9992857142857143,1.1219973762820687,9.910767794183366,0.11619746543690145,267.2273686164156,1,0,0
1.9992857142857143,1.143368754877918,2.0267905433105367,0.013183855932462848,31.278336622583296,1.9992857142857143,1.143368754877918,10.0,1.880082016056804,4.454362360768409,1.9992857142857143,1.143368754877918,10.0,1.529929040393283,150.167045439925,1,0,0
1.9992857142857143,1.1647401334737668,1.9976353485361944,0.007271270404310048,44.873246926696126,1.9992857142857143,1.1647401334737668,10.0,0.9046714012143373,258.27446021107204,1.9992857142857143,1.1647401334737668,10.0,1.1014900689175575,45.94084268815912,1,0,0
